time, speed[km/h], rpm
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 769.5 revolutions_per_minute
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 778.0 revolutions_per_minute
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 784.25 revolutions_per_minute
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 777.25 revolutions_per_minute
2024-09-11 00:09:54, 0.0 kilometer_per_hour, 782.0 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 781.25 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 781.25 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 777.25 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 783.5 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 779.5 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 776.5 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 782.75 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 778.0 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 778.0 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:55, 0.0 kilometer_per_hour, 772.5 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 781.25 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 775.0 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 771.75 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 778.0 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 780.25 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 775.0 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 771.75 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 781.25 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 765.5 revolutions_per_minute
2024-09-11 00:09:56, 0.0 kilometer_per_hour, 775.75 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 780.25 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 772.5 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 777.25 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 776.5 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 776.5 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 779.5 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 773.25 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 772.5 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 778.75 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 781.25 revolutions_per_minute
2024-09-11 00:09:57, 0.0 kilometer_per_hour, 774.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 777.25 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 778.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 773.25 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 775.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 771.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 776.5 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 777.25 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 771.75 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 774.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 782.0 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 773.25 revolutions_per_minute
2024-09-11 00:09:58, 0.0 kilometer_per_hour, 774.0 revolutions_per_minute
2024-09-11 00:09:59, 0.0 kilometer_per_hour, 782.0 revolutions_per_minute
2024-09-11 00:09:59, 0.0 kilometer_per_hour, 775.0 revolutions_per_minute
